Degree_Stream,CGPA,Technical_Skills,Aptitude_Score,Communication_Skills,Internships,Projects,Certifications,Coding_Score,Job_Ready
Information Technology,8.09605698361348,73.55919495829296,63.643604769659454,96.06248827066587,0,0,0,68.7210214955188,1
Computer Science,7.334082838594578,79.52276990799292,63.19878837424219,67.19320035438417,0,2,2,78.78019757043677,1
Computer Science,8.277226245720831,60.03037425225016,43.06535241054977,78.56151452157967,0,0,3,50.26463534090428,0
Information Technology,9.32763582768963,55.81644898238375,65.04864712447844,66.79687367179582,0,1,0,70.88882667338024,0
Information Technology,7.219015950331997,48.72274210163303,80.99243622732618,52.987999138103355,1,1,1,91.63508315154965,0
Information Technology,7.219035651660984,52.61884205031567,50.88651821384807,24.645513178839565,0,3,1,34.82258887259494,0
Computer Science,9.39505537860887,100.0,85.72723976575888,68.69820236665345,1,1,0,67.11339745677247,1
Computer Science,8.420921674983491,83.6701937110518,77.31662231626507,51.03908111715696,2,2,1,76.61311382590816,1
Information Technology,6.936630736878057,44.73388450687968,58.98650017043443,,2,3,1,58.09700366802339,0
Electronics,8.151072052303158,45.16313064884645,67.87705543993229,56.018229392375986,0,1,0,84.76566421711294,0
Electronics,6.943898768625045,72.22799092577738,93.9748271146155,96.40750531922288,2,2,1,100.0,1
Information Technology,6.941124295715691,73.2089719606695,81.00321720258799,100.0,0,2,1,66.86710696772606,1
Information Technology,7.790354725879241,73.23325752976046,,68.90974287551121,1,0,1,55.328205354440016,1
Mechanical,5.2040637064106425,61.175663096694535,66.43475024558524,56.6341899695889,1,4,4,79.53965615323914,1
Computer Science,5.430098600984361,63.118186099956496,71.14913605677489,43.80992448587821,1,3,2,76.84137720755803,0
Computer Science,6.825254964910833,69.91819286239036,62.32354663086545,73.43372290782925,1,3,1,9.623380901636311,0
Information Technology,6.284602655598691,66.28839509439996,38.42875741421478,97.0923008011726,0,2,0,59.94528887817773,0
Information Technology,7.877096799114328,31.710494408786975,100.0,60.54787303354718,2,3,0,52.10801066521772,1
Computer Science,6.410371109374546,61.553005541372094,72.32987498799102,22.178071266441965,1,1,0,67.93411383027832,0
Information Technology,5.80523555839765,52.2289034860953,75.97220897683806,77.06089409267943,2,1,4,56.126834394124195,0
Computer Science,9.258778522705866,67.62817128362768,69.13138375184637,82.73719480610089,1,1,2,58.296478154579965,1
Information Technology,7.2290684394161575,100.0,58.973247989131174,36.454778473054745,1,3,0,42.735744810778364,1
Computer Science,7.581033845625509,70.51222498211456,67.21113278576844,68.17671530593316,0,2,1,74.69058436848975,1
Mechanical,5.790302176543852,60.297054707414034,46.00907856708533,73.12206829044977,0,2,1,93.10084442937463,1
Computer Science,6.846740730569781,78.82702252965878,100.0,63.684068563839105,0,4,0,43.0465610156993,1
Electronics,7.633107107651839,72.24031830813819,51.48232002366406,50.76612345646363,1,3,0,32.058899537060526,0
Computer Science,6.118807707093237,71.30141735677762,54.52050574229231,83.28687002414401,0,1,1,60.400064396549276,0
Electronics,7.950837622014807,74.10275889823507,63.396111934203994,57.739164572563716,0,1,0,59.42688677929472,0
Electronics,6.779233572097434,95.84815347244313,89.32113587278566,38.266649071401226,0,2,2,83.4186557224072,1
Computer Science,7.149967500248068,48.03667347011126,70.2176349889398,28.109459257945744,2,1,1,35.41610095242936,0
Computer Science,6.777952065324723,72.10448115217181,51.45796305954306,87.69529135998758,1,1,0,49.240896499518044,0
Information Technology,9.722733821410726,51.104283050276926,88.8150754113601,76.09995157648012,3,1,1,17.045935214662933,0
Computer Science,7.483803330314479,73.33268969513372,80.96500940178223,66.58352384832504,2,0,1,87.49967272423645,1
Mechanical,6.23074688525292,51.21970232770858,78.07652435824679,57.075056536685544,0,1,0,65.01089256646728,0
Computer Science,8.487053894523827,58.73949779592373,80.7360136175626,55.478028544343715,0,2,1,50.731341720384066,0
Computer Science,6.034987620034773,60.57365128643141,100.0,45.636740328051,1,2,1,33.55457042817647,0
Computer Science,7.750636314005707,79.63725079017064,100.0,57.23379839792207,0,2,1,35.39047883645498,1
Computer Science,5.14839585134427,78.7768166591362,59.69926985495057,26.83843012783686,1,1,2,68.28533799582783,0
Information Technology,5.906176741321883,46.31423935330423,94.35827489216729,51.75085423756674,2,4,2,37.85149908798579,0
Information Technology,7.736233483042948,65.82401166499773,75.7475228463835,59.40312470568031,1,2,0,62.08010846297139,1
Electronics,8.386159895994492,54.35630217876241,77.48643724206624,75.97784084942754,1,1,1,100.0,1
Electronics,7.7056419374279645,46.12242633986998,44.61593752535007,64.28132365927945,1,0,1,53.048247541103585,0
Computer Science,7.361222061134112,61.74474424363444,67.44421351917705,79.30861604976006,0,1,1,40.77111112051242,0
Electronics,11.288912085424792,60.3727581731627,57.807646144951526,89.28443189204174,1,0,1,67.64014410905526,0
Computer Science,5.725773611559087,100.0,82.42088222339964,84.04706168883384,0,1,2,35.48416518436545,0
Computer Science,6.6361869499263495,71.49439738041045,86.06620750604208,73.46917725281402,0,1,1,94.39969060658807,1
Computer Science,6.947233474848255,44.33573748868644,38.88270473475533,65.21352822525411,0,3,1,88.0723933705667,0
Electronics,8.7685466714627,56.52838993743587,69.66947703993594,47.34581584855594,0,2,1,56.716567620927115,0
Information Technology,7.912341947482154,80.32074943144097,86.82792257191379,78.3189929248277,0,2,1,42.054136371515604,1
Information Technology,5.384351813564719,96.32664159304888,67.19981556529832,95.23545287998752,2,0,1,51.48460254449279,1
Information Technology,7.888900763273754,41.210250316430624,80.93595467503546,71.15790871370753,1,1,1,54.08668775829143,0
Information Technology,7.03790126350042,36.80113422291433,75.26748201440626,99.51066467167021,0,2,2,67.6713426341413,0
Information Technology,6.6876935996328495,93.06447763057673,75.1249034792894,,0,1,2,80.79264658602231,1
Computer Science,8.234011546609041,70.84421266056356,65.93027532897554,44.225059073968254,1,1,2,39.2697473848282,1
Computer Science,8.737199426995142,51.9756090218545,51.751287937964356,80.39362713946872,2,1,3,80.21819130685489,0
Information Technology,8.617536142939437,73.01943629183653,53.17704778862459,69.75722378275852,2,1,5,72.35371225622596,1
Information Technology,6.492938972132833,25.463783914746834,80.64028771682976,88.64807917829253,0,1,0,49.84421018386787,0
Computer Science,7.128945148978542,65.05063259895742,70.29187383278325,64.72151046691869,1,1,1,38.265762086459794,0
Computer Science,7.897516117684277,69.91731759264628,,49.37644239449003,0,0,0,62.32465434585136,0
Computer Science,8.670654152546831,78.86405209306744,63.64164936516471,61.15532164030923,0,3,1,38.80823032595832,0
Information Technology,6.924990914585652,49.791560715611936,65.42216731778872,37.41168852337279,1,2,2,80.47361698325213,0
Electronics,7.27720922800342,66.28530742105039,85.70367691732208,,0,2,1,37.5223445573559,0
Information Technology,6.172398031192766,51.11863060910619,64.9713387719796,82.50399196252418,2,3,2,70.95412386326288,0
Information Technology,6.064552051103195,68.83075633511476,49.88402930047647,80.71017346045298,2,1,0,58.38767270369836,0
Computer Science,8.475030986873037,51.56980516455464,81.1547766331026,71.53407712650939,0,1,1,48.787502312495974,0
Electronics,9.127488034284987,58.87848741259669,66.92685004202924,34.020604622711545,1,3,1,57.94336987361418,0
Electronics,7.413587854103599,50.062769078146566,70.47093798299164,58.54873564076801,0,1,1,81.59966339268404,0
Computer Science,8.704239477470429,74.76704362735485,94.11367459599266,42.95000200411909,1,5,2,36.1548518201242,1
Information Technology,7.933963230057161,77.87676674984998,69.6915916397424,86.17759856817977,0,0,3,51.75686889616367,0
Mechanical,6.725856294473851,61.480691450638794,74.33775509678088,54.493001595873174,0,1,0,44.96512870625624,0
Information Technology,7.933674726610096,65.57356992440043,52.31614763052512,45.45654120593211,0,1,0,59.22765732902571,0
Mechanical,9.345643879759162,43.27112878049684,66.7049582147356,65.53633097218564,2,2,2,46.306382149746916,0
Computer Science,7.457008753068058,60.50485027989819,79.14289067812902,53.47721977697699,2,2,1,24.63837515226771,1
Information Technology,9.377572386976807,64.24693074437383,46.669393992381366,91.70739038366672,1,1,0,38.89724906135275,0
Computer Science,4.356305875092307,100.0,73.01267639673564,51.77340384438457,1,1,1,92.75510037076224,1
Computer Science,8.486283005250268,48.320494613387545,71.5118660896721,39.81389133395664,1,3,0,64.93456422572545,1
Electronics,7.604456481885806,86.96265858128656,70.6193118338116,26.24755671636472,2,1,2,64.24724107616154,1
Computer Science,7.141191179440958,79.95288160198712,85.55738347987365,64.44584295655852,0,5,2,54.347752199827234,1
Computer Science,7.610112931842603,69.20954606735205,75.01657772272782,54.885257950557325,1,1,1,58.96749151781661,0
Information Technology,5.114917302478928,91.379307262927,92.17107847534666,39.27971708278892,0,3,2,51.4037615433724,0
Mechanical,7.236393734594985,70.58158208910294,55.096157266089456,86.40607630260413,1,3,1,70.5385706208213,0
Computer Science,7.9285350858140955,70.83738793501892,72.03886850827521,77.01041265372635,0,1,1,62.01617708518746,1
Computer Science,9.27347285368982,64.20319020473681,71.26700179584921,64.49207817912986,0,1,2,36.5746357968277,0
Information Technology,6.878075738071623,83.35353323627942,53.961182593673804,89.55787239507559,0,1,1,65.07449006208385,1
Electronics,6.529807676528175,81.44703850716326,84.34442503137019,76.92564860117503,2,1,2,10.825161534568988,0
Computer Science,6.897891547698556,55.614840687556814,100.0,50.18859377266822,1,2,1,68.27718399355571,1
Computer Science,8.59848254124249,45.21129208101849,69.74490888274254,46.29403704816621,1,3,1,31.812862863269572,0
Computer Science,7.894501331591622,61.955290439065145,77.5753163241065,79.72366780016951,2,2,3,58.07889827659848,1
Computer Science,6.864287755479554,52.99942153403531,71.26777713722991,72.13460521641231,1,0,1,36.10744793607622,0
Computer Science,8.115920919736027,64.04713138076967,59.29622995139236,68.0554598234719,0,0,0,60.05646399066194,0
Mechanical,7.616493059217649,83.56157202026209,,49.763039548359664,0,0,1,71.56557038552444,0
Electronics,8.662373988639468,58.14047517369815,59.41339775356952,75.94305620610358,0,4,1,90.0565417049916,1
Mechanical,6.6575362873471775,64.35764928032637,49.120624285724034,51.40102010358891,0,0,4,29.17284689977043,0
Computer Science,7.106805424082678,65.87034102212593,95.56153117088677,63.1642402173138,0,0,1,79.50945911342271,1
Computer Science,7.02947021624141,77.72646323307927,68.27335459115142,91.04499463496563,0,1,0,62.62305410754943,0
Computer Science,5.743782062241458,31.29665999023092,64.81121006429244,,0,3,2,50.98665694350752,0
Computer Science,7.855344332477491,55.89949557852055,83.33730737181709,36.6861933726885,2,2,2,75.19713010118919,1
Mechanical,7.813266326615867,68.16925538419208,53.17373345716168,46.054150546338015,0,1,2,55.28150297829587,0
Mechanical,7.506136147970953,83.00118434640292,58.49703942993172,82.89737888037722,0,0,1,74.35061032801359,1
Electronics,7.218495439949823,57.621463287406925,71.02108403872931,69.58516047284377,2,1,0,40.1546057374401,0
Computer Science,5.801555109539503,36.85170940937189,85.4315348713522,62.680207183602434,0,2,0,47.34005935407416,0
Information Technology,6.995225612681569,74.29567168949204,77.52527567753182,55.836311504391745,1,1,1,78.87200105589199,1
Information Technology,7.088742580167876,55.46956416761556,73.72487713773823,73.73647833595741,2,1,0,89.70801047140844,1
Electronics,6.537267276934057,47.15500011364458,71.17176602854025,49.716112682175975,1,2,0,59.299362016943014,0
Information Technology,7.306457146000789,55.63481915430164,76.00353783290163,70.50198023556672,0,1,1,4.254221492884396,0
Computer Science,7.984861028177446,62.232119635162256,73.02479357693882,51.83741776136677,2,1,1,56.019014347830904,0
Computer Science,9.763423081452636,55.92883003192681,54.550415878345966,48.84213106504903,0,0,1,60.648522356448595,0
Electronics,7.709493375398207,31.916509143513963,70.69118832449728,53.52522617314979,2,2,0,55.34453246613657,0
Information Technology,7.809060468867317,78.45599295330699,53.89467011623371,58.24266596328869,0,0,2,66.72677123331063,0
Information Technology,7.410664901080599,84.12312561918084,71.21623814351236,64.12106295319334,0,3,0,50.46180144805356,1
Mechanical,5.19747454164115,74.77282987009258,62.79028087767638,69.23820431200006,2,1,0,76.77741721356054,1
Information Technology,7.46818334946094,47.93471494362775,100.0,0.0,1,1,3,36.66573454537916,0
Computer Science,7.572276251929232,61.97762699078723,69.40158424372432,50.46228996055823,0,2,3,84.73697414708282,1
Computer Science,10.0,64.90218027155812,48.93640650607617,57.951740407591295,0,0,1,91.00157647922185,1
